,success_rate,makespan,time_cost,waiting_time,travel_dist,efficiency
0,1.0,25.78319874784627,8.395751886254748,3.7294968739768066,13.37887768067963,1.0
1,1.0,28.128250263041895,9.036835080609798,4.1521512974156805,13.104180582716154,1.0
2,1.0,27.136032165574278,8.383128009959984,4.32868467293115,10.83189355935947,1.0
3,1.0,27.345589315566805,10.33100031670815,1.688812449066044,11.448620068872033,1.0
4,1.0,30.163381463124146,9.312314558641882,1.8961538429086169,13.112879166122017,1.0
5,1.0,37.717143650427424,12.817970789428182,10.453067555392677,13.950626127633042,1.0
6,1.0,29.024381530853375,8.910331215111471,5.527432154839392,11.862047114772789,1.0
7,1.0,29.22813932385624,9.698453701124679,4.14942910865066,13.548878332366764,1.0
8,1.0,25.021420465073685,8.945038635979294,6.811907941284173,9.228279188314932,1.0
9,1.0,26.59885683777914,9.857482034822855,6.317431766961853,9.894258596216257,1.0
10,1.0,34.293191033135756,13.135343273329537,4.93554756597879,14.809840918618963,1.0
11,1.0,26.497067763307484,9.886138239943929,10.75704565305309,10.345992698702132,1.0
12,1.0,36.85106720085673,12.769259922268215,11.562943706178771,12.36642772172563,1.0
13,1.0,40.147370019952135,13.636592601981114,8.364349619559535,16.809073308275774,1.0
14,1.0,25.21097312932598,9.367604082258866,0.9225693189813313,12.55366702775592,1.0
15,1.0,30.17798158060927,10.809516848042554,4.442364181751763,14.604339400385875,1.0
16,1.0,33.408520863502986,12.401272137095395,6.169938238955649,15.981371470023761,1.0
17,1.0,25.664953557854446,7.031425761804869,4.916833412091434,13.22865393590697,1.0
18,1.0,34.606013679001755,9.840030603871787,2.8506741229036456,13.683723616639256,1.0
19,1.0,24.093045089296744,8.014461994043351,4.876090688008422,10.94753377860957,1.0
20,1.0,27.547641915407123,8.638076828598042,3.6647711172582778,11.240137967442893,1.0
21,1.0,28.70745088158912,9.385635226492674,1.4540273063584168,16.40120280619053,1.0
22,1.0,35.383507901419264,11.003026762717445,7.59448893882418,12.3170924037344,1.0
23,1.0,22.65458022027556,7.850526414190132,3.6843668936287184,7.465291724594904,1.0
24,1.0,28.076503220007957,9.23058363380921,2.474072266599894,12.903175155345856,1.0
25,1.0,27.738067352635454,8.320714700172775,9.271829626039347,8.716101054746646,1.0
26,1.0,27.894475164600408,7.827518815896307,1.7089694531667714,13.247781654575842,1.0
27,1.0,31.388891596724868,10.65491444497913,11.220483497447882,11.75387019555154,1.0
28,1.0,34.788159575715405,12.626172745517014,3.4510721647802227,13.855964761289371,1.0
29,1.0,25.198673979596187,6.8415889875597005,1.8876576886609617,12.597533252519295,1.0
30,1.0,29.568907884111837,10.010405200108135,5.199534283869823,12.418189221123463,1.0
31,1.0,33.482632623637045,9.147832358651527,5.2057411337576704,13.186545857954332,1.0
32,1.0,26.23117645781869,8.610557646655314,1.554723814281948,14.768347182553327,1.0
33,1.0,28.853369730231964,8.883840322644087,0.6403064018863766,11.588515603695313,1.0
34,1.0,26.62781847209958,10.510394052244944,1.3134368738284012,15.6572390380176,1.0
35,1.0,36.514409032208036,13.054232208392852,8.67621107375914,16.029955958552293,1.0
36,1.0,25.965762484219262,8.735770547445815,5.678683202332643,12.524710339363923,1.0
37,1.0,24.408800009387335,7.78720175505515,1.4464818010747764,12.110850807125903,1.0
38,1.0,29.786192593148673,9.713497011233834,10.230374682775837,10.235638137466484,1.0
39,1.0,23.316094819794948,7.898885972206552,1.2842775442559529,11.828944500719505,1.0
40,1.0,29.391808230753,8.129019411014314,3.3488984719068537,12.547222358882625,1.0
41,1.0,27.880563665761667,10.27434479912816,0.7411967421085345,15.220944947568395,1.0
42,1.0,27.646804074131136,8.680064663961593,2.763273962981554,13.11945784432773,1.0
43,1.0,32.606706368277415,10.578884781417122,8.426775368414384,14.708124425840278,1.0
44,1.0,34.488653179603226,10.874554380460872,6.162445724351451,14.94128625202329,1.0
45,1.0,33.67742166359322,12.883959143382688,5.3380832459480025,12.585484816417875,1.0
46,1.0,25.77205807945741,7.970909790938208,2.210660745747802,12.81385361422742,1.0
47,1.0,27.006466300542876,8.69301199032962,1.7382656741211644,13.715245737591392,1.0
48,1.0,24.943665584040936,6.870807757101283,2.369556004383693,9.751998389640388,1.0
49,1.0,25.859500048283113,8.086050086203533,1.535922289805904,13.950528842689579,1.0
