,success_rate,makespan,time_cost,waiting_time,travel_dist,efficiency
0,1.0,31.343575904494152,15.668436037137543,5.419664447635339,15.659186163900797,1.0
1,1.0,31.731156593914655,11.933894652876154,5.598176241113868,15.15923260952506,1.0
2,1.0,26.26400273868894,7.7023086497568976,1.8989754054438617,10.648233491434688,1.0
3,1.0,31.10090554089635,11.696981254562827,2.1053488495695,13.192366965091594,1.0
4,1.0,38.28723620599994,15.659155061043846,6.558346580376887,15.517781160644338,1.0
5,1.0,41.02225378699727,18.316136787236392,12.594845591943704,16.60459895737901,1.0
6,1.0,34.937098845144156,16.099297478348426,3.6026431407153248,16.001337567897142,1.0
7,1.0,35.53245051598925,14.032268905979237,6.561935837131365,17.56877051047391,1.0
8,1.0,29.62740754981841,12.161443346664644,9.638461275321648,11.635354497071608,1.0
9,1.0,36.091873789562605,16.854975155161203,10.156586213438992,15.24429855159395,1.0
10,1.0,43.106267883832764,17.98060167387271,6.635402675262941,19.371076800310952,1.0
11,1.0,36.53115114052551,13.39486416351215,7.8064166016940275,15.108998476905747,1.0
12,1.0,47.22684124426371,17.58861821139743,11.64272953460293,15.790871719160377,1.0
13,1.0,49.30005444891147,21.40306785890739,14.62391773765197,21.0139261411826,1.0
14,1.0,29.132194851778706,10.787995356784373,1.5717682651682379,15.550563628212718,1.0
15,1.0,34.00019342800247,12.96886209818806,4.857276755385469,16.018473434232146,1.0
16,1.0,36.10539872732981,16.09234041509142,4.541725837804894,19.32395836430079,1.0
17,1.0,35.36797677936632,15.193946676855356,4.9318725654636495,18.50688155128259,1.0
18,1.0,34.642741011093804,16.559223117172756,2.2004310041818194,14.951183795760716,1.0
19,1.0,27.899712059295084,12.855324338080175,3.90132138692665,16.264202917497297,1.0
20,1.0,29.421067255162598,11.136276315404112,0.8612737468121382,13.484089689326016,1.0
21,1.0,35.69129303559305,16.19873529766037,5.090324661437758,17.80783836640044,1.0
22,1.0,35.68235420951271,13.662949153389972,6.61260772179498,13.310927855102168,1.0
23,1.0,29.586378401974144,10.60607998128473,7.234306139177106,9.562455019318625,1.0
24,1.0,37.286346094170526,16.539617372119334,1.621775201523293,20.525045657004092,1.0
25,1.0,30.01526579881712,11.323883190010436,2.0237438893608783,9.859754394822259,1.0
26,1.0,27.84583908652057,12.358895300365567,1.1121608066799606,15.917633487957032,1.0
27,1.0,40.70917204903454,18.46820054991359,7.571464199265935,16.24563162664102,1.0
28,1.0,49.076676647435086,21.723387986410348,9.993558705126189,22.88884853947532,1.0
29,1.0,31.822336890156084,12.421631883428303,1.7334724355848745,15.10966032082345,1.0
30,1.0,37.419697707079884,15.778648150172508,7.063936202782423,15.127838664979391,1.0
31,1.0,38.22486341886179,15.151713314664304,4.93564429976345,17.643567767598963,1.0
32,1.0,32.953642707266624,14.587732186177387,3.772187226872532,18.98684555680769,1.0
33,1.0,26.252599258272006,10.196266056611027,3.0773074473658277,10.382186340880452,1.0
34,1.0,33.16658480532662,15.130363518911548,2.224535042521454,21.626324225126993,1.0
35,1.0,49.33579930288947,20.03752779636344,10.778164418786526,21.23181547170416,1.0
36,1.0,31.755132424744303,13.883458037294249,8.066426051716933,14.998823207616628,1.0
37,1.0,25.322120651344616,9.979724017725461,2.254366020607113,12.297449024667516,1.0
38,1.0,35.17158567889276,13.370453291979723,7.414929485803956,16.48356978494632,1.0
39,1.0,23.347376381077197,9.705780149607389,0.6311997783336945,13.616863289645606,1.0
40,1.0,36.31087762464502,13.080258586998088,7.302685461960633,16.0888692167268,1.0
41,1.0,35.40030522854177,14.353658653207507,3.643379192059934,19.228958581007827,1.0
42,1.0,34.568429909974135,14.525664515691421,3.5736881040687627,20.219069364686664,1.0
43,1.0,39.86399479691602,17.70242110821862,6.879854671068571,15.99375016988271,1.0
44,1.0,37.83781493075956,17.899953135952636,5.924218301885314,15.06166559024086,1.0
45,1.0,42.50376059793828,19.258819490611856,5.377851099643967,18.73428750724618,1.0
46,1.0,30.923228155572854,12.037231103138554,2.9931249150442696,18.13806348575045,1.0
47,1.0,31.486072885481153,14.77212463915648,2.267146069854188,17.371314836486057,1.0
48,1.0,25.866418513268425,9.012838912932011,2.130159925924603,11.714625250200072,1.0
49,1.0,29.750800841827342,12.704527918075184,0.5694102422746378,16.51738973270825,1.0
